Company;Symbol;Valor Number;Country;Traded Currency;Trading platform;Index-member;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing
Julius Bär Gruppe AG;BAER;10248496;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;RS;0.02;International Reporting Standard;IFRS;11.04.18;31.12.;KPMG AG - CH[501403];No;;true
Jungfraubahn Holding AG;JFN;1787578;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;1.50;Swiss Reporting Standard;Swiss GAAP FER;14.05.18;31.12.;KPMG AG - CH[501403];No;;true
Kardex AG;KARN;10083728;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;7.35;Swiss Reporting Standard;Swiss GAAP FER;12.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Komax Holding AG;KOMN;1070215;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;0.10;Swiss Reporting Standard;IFRS;19.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
KTM Industries AG;KTMI;504289;AT;CHF;XSWX;SPI,SSCI,SPIEX;BS;0.00;International Reporting Standard;IFRS;26.04.18;31.12.;KPMG Wirtschaftsprüfungs- und Steuerberatungs GmbH - AT;No;;true
Kudelski S.A.;KUD;1226836;CH;CHF;XSWX;SPI,SMCI,SPIEX;BS;8.00;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Kühne + Nagel International AG;KNIN;2523886;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP,SLI;RS;1.00;International Reporting Standard;IFRS;08.05.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Kuros Biosciences Ltd.;KURN;32581411;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;1.00;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
LafargeHolcim Ltd;LHN;1221405;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;RS;2.00;International Reporting Standard;IFRS;08.05.18;31.12.;Deloitte AG - CH[500420];No;;true
Landis+Gyr Group AG;LAND;37115349;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;10.00;International Reporting Standard;US GAAP;28.06.18;31.03.;PricewaterhouseCoopers AG - CH[500003];No;;true
lastminute.com N.V.;LMN;23806732;NL;CHF;XSWX;SPI,SSCI,SPIEX;BS;0.01;International Reporting Standard;IFRS;03.05.18;31.12.;KPMG AG - CH[501403];No;;true
Leclanché S.A.;LECN;11030311;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;1.50;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
LEM Holding SA;LEHN;2242762;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;0.50;International Reporting Standard;IFRS;28.06.18;31.03.;Ernst & Young AG - CH[500646];No;;true
Leonteq AG;LEON;19089118;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;1.00;International Reporting Standard;IFRS;28.03.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Liechtensteinische Landesbank AG;LLBN;35514757;LI;CHF;XSWX;SPI,SSCI,SPIEX;RS;5.00;International Reporting Standard;IFRS;09.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Logitech International S.A.;LOGN;2575132;CH;CHF;XSWX;;RS;0.25;International Reporting Standard;US GAAP;;31.03.;PricewaterhouseCoopers AG - CH[500003];No;;true
Lonza Group AG;LONN;1384101;CH;CHF;XSWX;SMI,SPI,SLCI,SLIFE,SBIOM,SMIEXP,SLI;RS;1.00;International Reporting Standard;IFRS;04.05.18;31.12.;KPMG AG - CH[501403];No;;true
LumX Group Limited;LUMX;3381261;GG;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.10;International Reporting Standard;IFRS;31.05.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Luzerner Kantonalbank AG;LUKN;1169360;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;31.00;Swiss Reporting Standard;Bank law;16.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
MCH Group AG;MCHN;3954285;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;10.00;Swiss Reporting Standard;Swiss GAAP FER;04.05.18;31.12.;KPMG AG - CH[501403];No;;true
Metall Zug AG;METN;3982108;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;25.00;Swiss Reporting Standard;Swiss GAAP FER;04.05.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Meyer Burger Technology AG;MBTN;10850379;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.05;Swiss Reporting Standard;Swiss GAAP FER;02.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Mikron Holding AG;MIKN;339006;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.10;Swiss Reporting Standard;Swiss GAAP FER;12.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
mobilezone holding ag;MOZN;27683769;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.01;Swiss Reporting Standard;Swiss GAAP FER;05.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Mobimo Holding AG;MOBN;1110887;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;29.00;Real Estate Companies;IFRS;27.03.18;31.12.;KPMG AG - CH[501403];No;;true
Molecular Partners AG;MOLN;25637909;CH;CHF;XSWX;SPI,SSCI,SPIEX,SLIFE,SBIOM;RS;0.10;International Reporting Standard;IFRS;18.04.18;31.12.;KPMG AG - CH[501403];No;;true
Myriad Group AG;MYRN;1962480;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.10;International Reporting Standard;IFRS;22.06.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
NEBAG AG;NBEN;505943;CH;CHF;XSWX;;RS;3.30;Investment Companies;IFRS;11.05.18;31.12.;BDO AG - CH[500705];No;;true
Nestlé AG;NESN;3886335;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;RS;0.10;International Reporting Standard;IFRS;12.04.18;31.12.;KPMG AG - CH[501403];No;;true
New Value AG;NEWN;1081986;CH;CHF;XSWX;;RS;0.10;Investment Companies;IFRS;22.08.18;31.03.;BDO AG - CH[500705];No;;true
New Venturetec AG;NEV;703683;CH;CHF;XSWX;;BS;6.00;Investment Companies;IFRS;;30.09.;KPMG AG - CH[501403];No;;true
Newron Pharmaceuticals S.p.A.;NWRN;2791431;IT;CHF;XSWX;SPI,SSCI,SPIEX,SLIFE,SBIOM;RS;0.20;International Reporting Standard;IFRS;27.03.18;31.12.;E & Y, Reconta Ernst & Young S.p.A. - IT;No;;true
NIBE Industrier AB;NIBEB;32514128;SE;CHF;XSWX;;RS;0.00;International Reporting Standard;;;;;No;;false
Novartis AG;NOVN;1200526;CH;CHF;XSWX;SMI,SPI,SLCI,SLIFE,SMIEXP,SLI;RS;0.50;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
OC Oerlikon Corporation AG;OERL;81682;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;1.00;International Reporting Standard;IFRS;10.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Orascom Development Holding AG;ODHN;3828567;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;23.20;International Reporting Standard;IFRS;08.05.18;31.12.;Deloitte AG - CH[500420];No;;true
Orell Füssli Holding AG;OFN;342080;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;1.00;Swiss Reporting Standard;Swiss GAAP FER;08.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Orior AG;ORON;11167736;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;4.00;International Reporting Standard;IFRS;12.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Panalpina Welttransport (Holding) AG;PWTN;216808;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;0.10;International Reporting Standard;IFRS;08.05.18;31.12.;Deloitte AG - CH[500420];No;;true
Pargesa Holding SA;PARG;2178339;CH;CHF;XSWX;SPI,SMCI,SPIEX;BS;20.00;International Reporting Standard;IFRS;03.05.18;31.12.;Deloitte AG - CH[500420];No;;true
Partners Group Holding AG;PGHN;2460882;CH;CHF;XSWX;SPI,SLCI,SPIEX,SMIM,SMIEXP,SLI;RS;0.01;International Reporting Standard;IFRS;09.05.18;31.12.;KPMG AG - CH[501403];No;;true
Peach Property Group AG, Zürich;PEAN;11853036;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;1.00;International Reporting Standard;IFRS;15.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
PepsiCo Inc.;PEP;961618;US;CHF;XSWX;;RS;0.02;International Reporting Standard;;;;KPMG LLP - US;No;;false
Perfect Holding SA, Lausanne;PRFN;911512;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.04;International Reporting Standard;IFRS;25.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Perrot Duval Holding SA;PEDU;25262070;CH;CHF;XSWX;SPI,SSCI,SPIEX;BS;50.00;Swiss Reporting Standard;Swiss GAAP FER;20.09.18;30.04.;KPMG AG - CH[501403];No;;true
Philip Morris International Inc;PMI;3754629;US;CHF;XSWX;;RS;0.00;International Reporting Standard;;;;PricewaterhouseCoopers AG - CH[500003];No;;false
Phoenix Mecano AG;PM;218781;CH;CHF;XSWX;SPI,SSCI,SPIEX;BS;1.00;International Reporting Standard;IFRS;18.05.18;31.12.;KPMG AG - CH[501403];No;;true
PLAZZA AG;PLAN;28414291;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.50;Real Estate Companies;Swiss GAAP FER;03.05.18;31.12.;KPMG AG - CH[501403];No;;true
Poenina Holding AG;PNHO;12252764;CH;CHF;XSWX;;RS;0.10;Swiss Reporting Standard;;23.05.18;;BDO AG - CH[500705];No;;true
Private Equity Holding AG;PEHN;608992;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;6.00;Investment Companies;IFRS;12.07.18;31.03.;KPMG AG - CH[501403];No;;true
PSP Swiss Property AG;PSPN;1829415;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;0.10;Real Estate Companies;IFRS;05.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Rapid Nutrition PLC;RAP;24217339;GB;EUR;XSWX;;RS;0.01;International Reporting Standard;IFRS;;30.06.;MOORE STEPHENS EXPERT (ZURICH) AG - CH[505046];No;;true
RELIEF THERAPEUTICS Holding AG;RLF;10019113;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.01;International Reporting Standard;IFRS;;31.12.;Mazars Coresa - CH[500241];No;;true
Rieter Holding AG;RIEN;367144;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;5.00;International Reporting Standard;IFRS;05.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Roche Holding AG;RO;1203211;CH;CHF;XSWX;;BS;1.00;International Reporting Standard;IFRS;05.03.19;31.12.;KPMG AG - CH[501403];No;;true
Roche Holding AG;ROG;1203204;CH;CHF;XSWX;SMI,SPI,SLCI,SLIFE,SMIEXP,SLI;GC;0.00;International Reporting Standard;IFRS;05.03.19;31.12.;KPMG AG - CH[501403];No;;true
Romande Energie Holding SA;HREN;2560733;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;25.00;International Reporting Standard;IFRS;29.05.18;31.12.;Deloitte AG - CH[500420];No;;true
Royal Bank of Canada;RY;699232;CA;CHF;XSWX;;RS;0.00;International Reporting Standard;;;;Deloitte & Touche LLP - CA;No;;false
Santhera Pharmaceuticals Holding AG;SANN;2714864;CH;CHF;XSWX;SPI,SSCI,SPIEX,SLIFE,SBIOM;RS;1.00;International Reporting Standard;IFRS;12.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Schaffner Holding AG;SAHN;906209;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;32.50;Swiss Reporting Standard;Swiss GAAP FER;15.01.19;30.09.;BDO AG - CH[500705];No;;true
Schindler Holding AG;SCHN;2463821;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;0.10;International Reporting Standard;IFRS;20.03.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Schindler Holding AG;SCHP;2463819;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP,SLI;PC;0.10;International Reporting Standard;IFRS;20.03.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Schlatter Industries AG;STRN;227731;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;16.00;Swiss Reporting Standard;Swiss GAAP FER;03.05.18;31.12.;KPMG AG - CH[501403];No;;true
Schlumberger Limited;SLB;555100;US;CHF;XSWX;;RS;0.01;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;No;;false
SCHMOLZ+BICKENBACH AG;STLN;579566;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.50;International Reporting Standard;IFRS;26.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Schweiter Technologies AG;SWTQ;1075492;CH;CHF;XSWX;SPI,SMCI,SPIEX;BS;1.00;International Reporting Standard;IFRS;13.04.18;31.12.;Deloitte AG - CH[500420];No;;true
Schweizerische Nationalbank;SNBN;131926;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;250.00;Swiss Reporting Standard;Swiss GAAP FER;27.04.18;31.12.;KPMG AG - CH[501403];No;;true
Scor SE;SCR;2844943;FR;CHF;XSWX;;RS;7.88;International Reporting Standard;;;;Mazars & Guérard - FR;No;;false
SFS Group AG;SFSN;23922930;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;0.10;Swiss Reporting Standard;Swiss GAAP FER;25.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
SGS AG;SGSN;249745;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;RS;1.00;International Reporting Standard;IFRS;19.03.18;31.12.;Deloitte AG - CH[500420];No;;true
SHL Telemedicine Ltd.;SHLTN;1128957;IL;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.01;International Reporting Standard;IFRS;12.04.18;31.12.;E & Y, Kost Forer Gabbay and Kasierer - IL;No;;true
Siegfried Holding AG;SFZN;1428449;CH;CHF;XSWX;SPI,SMCI,SPIEX,SLIFE;RS;2.00;Swiss Reporting Standard;Swiss GAAP FER;20.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Sika AG;SIK;58797;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;BS;0.60;International Reporting Standard;IFRS;17.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Sociedad Comercial del Plata SA;CADN;455617;AR;CHF;XSWX;;RS;10.00;International Reporting Standard;;;;Deloitte & Co. - AR;No;;false
Sonova Holding AG;SOON;1254978;CH;CHF;XSWX;SPI,SMCI,SPIEX,SLIFE,SBIOM,SMIM,SMIEXP,SLI;RS;0.05;International Reporting Standard;IFRS;12.06.18;31.03.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);true
Spice Private Equity AG;SPCE;915331;CH;USD;XSWX;SPI,SSCI,SPIEX;RS;10.00;Investment Companies;IFRS;30.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
St.Galler Kantonalbank AG;SGKN;1148406;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;70.00;Swiss Reporting Standard;Bank law;25.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Starrag Group Holding AG;STGN;236106;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;8.50;Swiss Reporting Standard;Swiss GAAP FER;28.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Straumann Holding AG;STMN;1228007;CH;CHF;XSWX;SPI,SMCI,SPIEX,SLIFE,SBIOM,SMIM,SMIEXP;RS;0.10;International Reporting Standard;IFRS;04.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Sulzer AG;SUN;3838891;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;0.01;International Reporting Standard;IFRS;04.04.18;31.12.;KPMG AG - CH[501403];No;;true
Sunrise Communications Group AG;SRCG;26729122;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;1.00;International Reporting Standard;IFRS;11.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Swiss Finance & Property Investment AG;SFPN;3281613;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;12.60;Real Estate Companies;IFRS;10.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Swiss Life Holding AG;SLHN;1485278;CH;CHF;XSWX;SMI,SPI,SMCI,SMIEXP,SLI;RS;5.10;International Reporting Standard;IFRS;24.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);true
Swiss Prime Site AG;SPSN;803838;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;15.30;Real Estate Companies;Swiss GAAP FER;27.03.18;31.12.;KPMG AG - CH[501403];No;;true
Swiss Re AG;SREN;12688156;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;RS;0.10;International Reporting Standard;US GAAP;20.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Swisscom AG;SCMN;874251;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;RS;1.00;International Reporting Standard;IFRS;04.04.18;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);true
Swissquote Group Holding Ltd;SQN;1067586;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.20;International Reporting Standard;IFRS;04.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Tamedia AG;TAMN;1117825;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;10.00;International Reporting Standard;IFRS;20.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Tecan Group AG;TECN;1210019;CH;CHF;XSWX;SPI,SMCI,SPIEX,SLIFE,SBIOM;RS;0.10;International Reporting Standard;IFRS;17.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Temenos Group AG;TEMN;1245391;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;5.00;International Reporting Standard;IFRS;15.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Temenos Group AG;TEMN;1245391;CH;USD;XSWX;;RS;5.00;International Reporting Standard;IFRS;15.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
The Native SA;NTIV;632685;CH;CHF;XSWX;;BS;3.50;Swiss Reporting Standard;Swiss GAAP FER;25.05.18;31.12.;Berney & Associés SA, Société Fiduciaire - CH[501382];No;;true
The Swatch Group AG;UHR;1225515;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;BS;2.25;Swiss Reporting Standard;Swiss GAAP FER;24.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
The Swatch Group AG;UHRN;1225514;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;0.45;Swiss Reporting Standard;Swiss GAAP FER;24.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Thurgauer Kantonalbank;TKBP;23135110;CH;CHF;XSWX;SPI,SSCI,SPIEX;PC;20.00;Swiss Reporting Standard;Bank law;31.05.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Tornos Holding AG;TOHN;1160768;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;4.50;Swiss Reporting Standard;Swiss GAAP FER;11.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
u-blox Holding AG;UBXN;3336167;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;0.90;International Reporting Standard;IFRS;24.04.18;31.12.;KPMG AG - CH[501403];No;;true
UBS Group AG;UBSG;24476758;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;RS;0.10;International Reporting Standard;IFRS;03.05.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Unisys Corporation;UIS;10641130;US;CHF;XSWX;;RS;0.01;International Reporting Standard;;;;KPMG LLP - US;No;;false
Valartis Group AG;VLRT;36742768;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;1.00;International Reporting Standard;IFRS;15.05.18;31.12.;BDO AG - CH[500705];No;;true
Valiant Holding AG;VATN;1478650;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;0.50;Swiss Reporting Standard;Bank law;23.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Valora Holding AG;VALN;208897;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;1.00;International Reporting Standard;IFRS;13.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Varia US Properties AG;VARN;30528529;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;1.00;Real Estate Companies;IFRS;;31.12.;KPMG AG - CH[501403];No;;true
VAT Group AG;VACN;31186490;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;0.10;International Reporting Standard;IFRS;17.05.18;31.12.;KPMG AG - CH[501403];No;;true
Vaudoise Assurances Holding SA;VAHN;2154566;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;25.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;KPMG AG - CH[501403];No;;true
Vetropack Holding AG;VET;622761;CH;CHF;XSWX;SPI,SSCI,SPIEX;BS;50.00;Swiss Reporting Standard;Swiss GAAP FER;20.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Vifor Pharma AG;VIFN;36474934;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP,SLI;RS;0.01;International Reporting Standard;IFRS;15.05.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Villars Holding S.A.;VILN;260965;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;44.00;Swiss Reporting Standard;Swiss GAAP FER;17.05.18;31.12.;KPMG AG - CH[501403];No;;true
Volkswagen AG;VW;352780;DE;CHF;XSWX;;BS;0.00;International Reporting Standard;;;;PricewaterhouseCoopers AG, Wirtschaftsprüfungsgesellschaft - DE;No;;false
Volkswagen AG;VW-V;352781;DE;CHF;XSWX;;BS;0.00;International Reporting Standard;;;;PricewaterhouseCoopers AG, Wirtschaftsprüfungsgesellschaft - DE;No;;false
Von Roll Holding AG;ROL;324535;CH;CHF;XSWX;SPI,SSCI,SPIEX;BS;0.10;International Reporting Standard;IFRS;24.04.18;31.12.;Deloitte AG - CH[500420];No;;true
Vontobel Holding AG;VONN;1233554;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;1.00;International Reporting Standard;IFRS;18.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
VP Bank AG;VPBN;31548726;LI;CHF;XSWX;SPI,SSCI,SPIEX;RS;10.00;International Reporting Standard;IFRS;27.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
VZ Holding AG;VZN;2820083;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;0.25;International Reporting Standard;IFRS;10.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Walliser Kantonalbank;WKBN;30595120;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;10.00;Swiss Reporting Standard;Bank law;16.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Walter Meier AG;WMN;20806262;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.10;Swiss Reporting Standard;Swiss GAAP FER;27.03.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Warteck Invest AG;WARN;261948;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;10.00;Real Estate Companies;Swiss GAAP FER;23.05.18;31.12.;KPMG AG - CH[501403];No;;true
WISeKey International Holding Ltd;WIHN;31402927;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.05;International Reporting Standard;US GAAP;;31.12.;BDO AG - CH[500705];No;;true
Ypsomed Holding AG;YPSN;1939699;CH;CHF;XSWX;SPI,SMCI,SPIEX,SLIFE,SBIOM;RS;14.15;Swiss Reporting Standard;Swiss GAAP FER;27.06.18;31.03.;Ernst & Young AG - CH[500646];No;;true
Zehnder Group AG;ZEHN;27653461;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.05;Swiss Reporting Standard;Swiss GAAP FER;12.04.18;31.12.;KPMG AG - CH[501403];No;;true
Zimmer Biomet Holdings Inc.;ZBH;1262932;US;CHF;XSWX;;RS;0.01;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;No;;false
Züblin Immobilien Holding AG;ZUBN;31230968;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;22.50;Real Estate Companies;IFRS;21.06.18;31.03.;Ernst & Young AG - CH[500646];No;;true
Zug Estates Holding AG;ZUGN;14805212;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;25.00;Real Estate Companies;Swiss GAAP FER;10.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Zuger Kantonalbank AG;ZG;130890;CH;CHF;XSWX;SPI,SMCI,SPIEX;BS;500.00;Swiss Reporting Standard;Bank law;05.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Zur Rose Group AG;ROSE;4261528;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;5.75;International Reporting Standard;IFRS;24.05.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Zurich Insurance Group AG;ZURN;1107539;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;RS;0.10;International Reporting Standard;IFRS;04.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Zwahlen & Mayr SA;ZWM;266173;CH;CHF;XSWX;SPI,SSCI,SPIEX;BS;200.00;Swiss Reporting Standard;Swiss GAAP FER;26.04.18;31.12.;Fiduciaire FIDAG SA - CH[501570];No;;true
